,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,,,,,,
156.2686157,15618,170460416,203227520,203161344,170393408,-82.38197327,-78.75997925
156.2592316,15617,170460160,203227776,203161600,170393152,-82.23638916,-78.70853424
156.2733154,15619,170460416,203227520,203161344,170393408,-82.34187317,-78.73813629
156.3061371,15622,170460176,203227776,203161584,170393152,-82.5786438,-78.70459747
156.3061371,15622,170460448,203227504,203161312,170393408,-82.60578156,-78.67913055
156.2686157,15618,170460176,203227776,203161584,170393152,-82.12374115,-78.46565247
156.2826843,15620,170460432,203227520,203161328,170393408,-82.45444489,-78.7282486
156.2920685,15621,170460192,203227760,203161568,170393152,-82.31455994,-78.65380859
156.2967682,15621,170460448,203227504,203161312,170393408,-81.97805023,-78.57108307
156.2545471,15617,170460192,203227728,203161568,170393168,-81.80918121,-78.64022827
156.2733154,15619,170460480,203227456,203161280,170393456,-82.08226013,-78.75798798
156.2498627,15616,170460256,203227680,203161504,170393232,-81.96225739,-78.68108368
156.2592316,15617,170460544,203227392,203161216,170393536,-82.23377228,-78.68695068
156.2029572,15612,170460304,203227600,203161456,170393312,-81.96670532,-78.74210358
156.287384,15620,170460128,203227312,203161120,170393088,-81.9788208,-78.60551453
156.2404785,15616,170460416,203227520,203161344,170393408,-81.9945755,-78.80599976
156.2264099,15614,170460192,203227728,203161568,170393184,-81.94535065,-78.70263672
156.2779999,15619,170460512,203227424,203161248,170393472,-81.80416107,-78.60359955
156.2826843,15620,170460304,203227632,203161456,170393280,-81.88193512,-78.49364471
156.2498627,15616,170460608,203227328,203161152,170393584,-82.09352112,-78.63636017
156.2686157,15618,170460400,203227536,203161360,170393376,-81.74607086,-78.72627258
156.2357941,15615,170460192,203227728,203161568,170393184,-82.07884979,-78.79595184
156.2545471,15617,170460512,203227408,203161248,170393488,-81.98934174,-78.68498993
156.287384,15620,170460304,203227632,203161456,170393280,-82.22737122,-78.59783936
156.2920685,15621,170460128,203227312,203161120,170393088,-82.46500397,-78.72627258
156.2686157,15618,170460416,203227520,203161344,170393392,-82.14138031,-78.87084961
156.2779999,15619,170460192,203227744,203161568,170393168,-81.92475128,-78.69478607
156.2920685,15621,170460496,203227456,203161264,170393472,-82.51771545,-78.69674683
156.2686157,15618,170460272,203227664,203161488,170393248,-82.32380676,-78.83222961
156.287384,15620,170460576,203227376,203161184,170393536,-81.92886353,-78.53313446
156.2686157,15618,170460352,203227584,203161408,170393328,-82.08669281,-78.83627319
156.2733154,15619,170460160,203227776,203161600,170393136,-82.58690643,-78.86473083
156.2826843,15620,170460496,203227440,203161264,170393472,-82.20368195,-78.64216614
156.2920685,15621,170460320,203227616,203161440,170393280,-81.96600342,-78.60359955
156.2545471,15617,170460128,203227296,203161120,170393120,-81.78030396,-78.55396271
156.2545471,15617,170460464,203227456,203161296,170393456,-81.90546417,-78.67131805
156.3061371,15622,170460304,203227648,203161456,170393280,-82.37562561,-78.64797974
156.2592316,15617,170460128,203227296,203161120,170393104,-81.92066193,-78.59783936
156.2686157,15618,170460464,203227456,203161296,170393440,-81.97109985,-78.70263672
156.2920685,15621,170460320,203227632,203161440,170393280,-82.83732605,-78.78592682
156.2170258,15613,170460128,203227264,203161120,170393120,-82.11514282,-78.80800629
156.3061371,15622,170460496,203227456,203161264,170393472,-82.48544312,-78.72627258
156.2498627,15616,170460320,203227600,203161440,170393296,-81.96961212,-78.6752243
156.2779999,15619,170460160,203227264,203161088,170393136,-82.1503067,-78.64797974
156.3014526,15622,170460512,203227424,203161248,170393472,-81.86206818,-78.54069519
156.2779999,15619,170460352,203227584,203161408,170393344,-82.13890076,-78.68108368
156.2357941,15615,170460192,203227728,203161568,170393184,-82.4263382,-78.94498444
156.287384,15620,170460560,203227360,203161200,170393536,-81.97962189,-78.67913055
156.2826843,15620,170460416,203227520,203161344,170393408,-81.981987,-78.59976196
156.2686157,15618,170460272,203227664,203161488,170393248,-82.17386627,-78.9637146
156.2686157,15618,170460128,203227296,203161120,170393088,-81.741745,-78.65963745
156.3108368,15623,170460528,203227424,203161232,170393472,-82.1576767,-78.67717743
156.2826843,15620,170460384,203227568,203161376,170393344,-81.86338806,-78.57108307
156.2639313,15618,170460240,203227696,203161520,170393216,-82.24025726,-78.65963745
156.3108368,15623,170460640,203227328,203161120,170393600,-82.27276611,-78.62670135
156.2826843,15620,170460496,203227440,203161264,170393472,-82.24078369,-78.73417664
156.3061371,15622,170460384,203227568,203161376,170393344,-82.69564819,-78.68695068
156.2920685,15621,170460256,203227696,203161504,170393216,-82.41632843,-78.74804688
156.2779999,15619,170460128,203227296,203161120,170393088,-82.04515076,-78.66352844
156.2779999,15619,170460512,203227424,203161248,170393472,-81.81613922,-78.56917572
156.2920685,15621,170460384,203227552,203161376,170393344,-82.30529785,-78.74804688
156.2826843,15620,170460256,203227680,203161504,170393216,-82.23693085,-78.78993225
156.2592316,15617,170460128,203227280,203161120,170393088,-82.12024689,-78.80800629
156.2170258,15613,170460512,203227392,203161248,170393504,-82.15753937,-79.02463531
156.2686157,15618,170460416,203227520,203161344,170393392,-82.03101349,-78.75003815
156.2779999,15619,170460304,203227648,203161456,170393280,-82.20710754,-78.57108307
156.2779999,15619,170460176,203227760,203161584,170393152,-82.21286011,-78.67717743
156.2826843,15620,170460576,203227360,203161184,170393536,-81.72382355,-78.644104
156.2404785,15616,170460448,203227456,203161312,170393440,-82.00325775,-78.82212067
156.2779999,15619,170460352,203227584,203161408,170393328,-82.00115204,-78.66547394
156.287384,15620,170460256,203227696,203161504,170393216,-81.86223602,-78.52747345
156.2498627,15616,170460128,203227280,203161120,170393104,-81.83898163,-78.69086456
156.2686157,15618,170460544,203227392,203161216,170393504,-82.14823914,-78.93875885
156.2733154,15619,170460448,203227488,203161312,170393408,-81.85223389,-78.63249207
156.2686157,15618,170460320,203227600,203161440,170393280,-81.70346832,-78.70853424
156.2779999,15619,170460224,203227712,203161536,170393200,-82.22446442,-78.48616028
156.2686157,15618,170460128,203227280,203161120,170393088,-81.88127899,-78.7559967
156.2639313,15618,170460544,203227392,203161216,170393504,-82.21147156,-78.78192902
156.2404785,15616,170460448,203227472,203161312,170393424,-81.95149994,-78.91600037
156.2779999,15619,170460368,203227552,203161392,170393344,-82.20616913,-78.66741943
156.2264099,15614,170460256,203227648,203161504,170393248,-82.06260681,-78.7282486
156.287384,15620,170460192,203227744,203161568,170393152,-81.85960388,-78.56726837
156.287384,15620,170460608,203227328,203161152,170393584,-82.76344299,-78.82817841
156.2592316,15617,170460544,203227376,203161216,170393520,-82.39016724,-78.71050262
156.2733154,15619,170460480,203227456,203161280,170393440,-82.07821655,-78.75003815
156.2686157,15618,170460400,203227520,203161360,170393376,-81.89396667,-78.61320496
156.287384,15620,170460352,203227584,203161408,170393312,-81.87464905,-78.68108368
156.2779999,15619,170460288,203227648,203161472,170393248,-82.07663727,-78.73417664
156.2498627,15616,170460176,203227728,203161584,170393152,-81.78502655,-78.7559967
156.3108368,15623,170460640,203227328,203161120,170393600,-82.78961945,-78.72232056
156.2826843,15620,170460544,203227392,203161216,170393504,-82.08660126,-79.01196289
156.2498627,15616,170460432,203227472,203161328,170393408,-81.99216461,-78.64604187
156.2733154,15619,170460368,203227568,203161392,170393344,-82.4318924,-78.65963745
156.2779999,15619,170460288,203227648,203161472,170393248,-82.41356659,-78.86880493
156.2264099,15614,170460192,203227712,203161568,170393168,-82.09953308,-78.80599976
156.2967682,15621,170460128,203227296,203161120,170393088,-82.01232147,-78.63829803
156.2967682,15621,170460576,203227376,203161184,170393536,-81.69319916,-78.46751404
156.2686157,15618,170460496,203227440,203161264,170393472,-82.12956238,-78.5124054
156.2639313,15618,170460224,203227712,203161536,170393200,-82.28102112,-78.56156158
156.2639313,15618,170460160,203227776,203161600,170393152,-82.29251862,-78.64797974
156.2498627,15616,170460624,203227296,203161136,170393600,-81.71867371,-78.27646637
156.2826843,15620,170460576,203227360,203161184,170393536,-82.11756134,-78.61128235
156.2639313,15618,170460512,203227424,203161248,170393488,-81.79364014,-78.6830368
156.2498627,15616,170460448,203227456,203161312,170393424,-82.13755798,-79.02463531
156.2733154,15619,170460416,203227520,203161344,170393376,-81.94806671,-78.62670135
156.2686157,15618,170460368,203227552,203161392,170393344,-81.88123322,-78.59209442
156.2498627,15616,170460320,203227600,203161440,170393280,-81.89823151,-78.72429657
156.2592316,15617,170460272,203227648,203161488,170393248,-81.96178436,-78.53313446
156.2920685,15621,170460256,203227680,203161504,170393216,-82.32009125,-78.67717743
156.2404785,15616,170460192,203227712,203161568,170393168,-82.31909943,-78.94705963
156.2639313,15618,170460160,203227760,203161600,170393136,-81.86611938,-78.5236969
156.2639313,15618,170460144,203227264,203161104,170393120,-82.02375793,-78.68891144
156.245163,15616,170460128,203227280,203161120,170393104,-82.24829865,-79.0458374
156.287384,15620,170460640,203227296,203161120,170393600,-82.0104599,-78.7999649
156.2826843,15620,170460640,203227296,203161120,170393600,-81.77310181,-78.47496796
156.2826843,15620,170460624,203227312,203161136,170393584,-81.9535141,-78.49925995
156.2639313,15618,170460608,203227328,203161152,170393584,-82.06969452,-78.52935791
156.2967682,15621,170460608,203227328,203161152,170393568,-82.08679199,-78.6830368
156.2733154,15619,170460608,203227328,203161152,170393568,-82.31226349,-78.68695068
156.2733154,15619,170460608,203227328,203161152,170393568,-82.22328949,-78.68695068
156.2779999,15619,170460608,203227328,203161152,170393568,-82.16551208,-78.74407959
156.2404785,15616,170460592,203227328,203161168,170393568,-82.14511871,-78.84438324
156.2545471,15617,170460592,203227312,203161168,170393568,-82.33753967,-78.6752243
